"module name","licenses","repository","licenseUrl","parents"
"insert-module-globals@6.6.3","MIT","https://github.com/substack/insert-module-globals","https://github.com/substack/insert-module-globals/raw/master/LICENSE","jquery-ui-form-builder"
"insert-module-globals@7.0.1","MIT","https://github.com/substack/insert-module-globals","https://github.com/substack/insert-module-globals/raw/master/LICENSE","watchify:jquery-ui-form-builder"
"interpret@1.1.0","MIT","https://github.com/tkellen/node-interpret","https://github.com/tkellen/node-interpret/raw/master/LICENSE","jquery-ui-form-builder"
"invert-kv@1.0.0","MIT","https://github.com/sindresorhus/invert-kv","https://github.com/sindresorhus/invert-kv","jquery-ui-form-builder"
"ip-regex@1.0.3","MIT","https://github.com/sindresorhus/ip-regex","https://github.com/sindresorhus/ip-regex/raw/master/license","jquery-ui-form-builder"
"irregular-plurals@1.4.0","MIT","https://github.com/sindresorhus/irregular-plurals","https://github.com/sindresorhus/irregular-plurals/raw/master/license","jquery-ui-form-builder"
"is-absolute@1.0.0","MIT","https://github.com/jonschlinkert/is-absolute","https://github.com/jonschlinkert/is-absolute/raw/master/LICENSE","jquery-ui-form-builder"
"is-accessor-descriptor@0.1.6","MIT","https://github.com/jonschlinkert/is-accessor-descriptor","https://github.com/jonschlinkert/is-accessor-descriptor/raw/master/LICENSE","class-utils:jquery-ui-form-builder"
"is-accessor-descriptor@1.0.0","MIT","https://github.com/jonschlinkert/is-accessor-descriptor","https://github.com/jonschlinkert/is-accessor-descriptor/raw/master/LICENSE","jquery-ui-form-builder"
"is-arrayish@0.2.1","MIT","https://github.com/qix-/node-is-arrayish","https://github.com/qix-/node-is-arrayish/raw/master/LICENSE","jquery-ui-form-builder"
"is-binary-path@1.0.1","MIT","https://github.com/sindresorhus/is-binary-path","https://github.com/sindresorhus/is-binary-path/raw/master/license","jquery-ui-form-builder"
"is-buffer@1.1.6","MIT","https://github.com/feross/is-buffer","https://github.com/feross/is-buffer/raw/master/LICENSE","jquery-ui-form-builder"
"is-builtin-module@1.0.0","MIT","https://github.com/sindresorhus/is-builtin-module","https://github.com/sindresorhus/is-builtin-module/raw/master/license","jquery-ui-form-builder"
"is-data-descriptor@0.1.4","MIT","https://github.com/jonschlinkert/is-data-descriptor","https://github.com/jonschlinkert/is-data-descriptor/raw/master/LICENSE","class-utils:jquery-ui-form-builder"
"is-data-descriptor@1.0.0","MIT","https://github.com/jonschlinkert/is-data-descriptor","https://github.com/jonschlinkert/is-data-descriptor/raw/master/LICENSE","jquery-ui-form-builder"
"is-descriptor@0.1.6","MIT","https://github.com/jonschlinkert/is-descriptor","https://github.com/jonschlinkert/is-descriptor/raw/master/LICENSE","class-utils:jquery-ui-form-builder"
"is-descriptor@1.0.2","MIT","https://github.com/jonschlinkert/is-descriptor","https://github.com/jonschlinkert/is-descriptor/raw/master/LICENSE","jquery-ui-form-builder"
"is-dotfile@1.0.3","MIT","https://github.com/jonschlinkert/is-dotfile","https://github.com/jonschlinkert/is-dotfile/raw/master/LICENSE","jquery-ui-form-builder"
"is-equal-shallow@0.1.3","MIT","https://github.com/jonschlinkert/is-equal-shallow","https://github.com/jonschlinkert/is-equal-shallow/raw/master/LICENSE","jquery-ui-form-builder"
"is-extendable@0.1.1","MIT","https://github.com/jonschlinkert/is-extendable","https://github.com/jonschlinkert/is-extendable/raw/master/LICENSE","jquery-ui-form-builder"
"is-extendable@1.0.1","MIT","https://github.com/jonschlinkert/is-extendable","https://github.com/jonschlinkert/is-extendable/raw/master/LICENSE","split-string:jquery-ui-form-builder"
"is-extglob@1.0.0","MIT","https://github.com/jonschlinkert/is-extglob","https://github.com/jonschlinkert/is-extglob/raw/master/LICENSE","anymatch:jquery-ui-form-builder"
"is-extglob@2.1.1","MIT","https://github.com/jonschlinkert/is-extglob","https://github.com/jonschlinkert/is-extglob/raw/master/LICENSE","jquery-ui-form-builder"
"is-finite@1.0.2","MIT","https://github.com/sindresorhus/is-finite","https://github.com/sindresorhus/is-finite/raw/master/license","jquery-ui-form-builder"
"is-fullwidth-code-point@1.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point","https://github.com/sindresorhus/is-fullwidth-code-point/raw/master/license","jquery-ui-form-builder"
"is-glob@2.0.1","MIT","https://github.com/jonschlinkert/is-glob","https://github.com/jonschlinkert/is-glob/raw/master/LICENSE","anymatch:jquery-ui-form-builder"
"is-glob@3.1.0","MIT","https://github.com/jonschlinkert/is-glob","https://github.com/jonschlinkert/is-glob/raw/master/LICENSE","jquery-ui-form-builder"
"is-number@2.1.0","MIT","https://github.com/jonschlinkert/is-number","https://github.com/jonschlinkert/is-number/raw/master/LICENSE","expand-range:jquery-ui-form-builder"
"is-number@3.0.0","MIT","https://github.com/jonschlinkert/is-number","https://github.com/jonschlinkert/is-number/raw/master/LICENSE","jquery-ui-form-builder"
"is-odd@1.0.0","MIT","https://github.com/jonschlinkert/is-odd","https://github.com/jonschlinkert/is-odd/raw/master/LICENSE","jquery-ui-form-builder"
"is-plain-object@2.0.4","MIT","https://github.com/jonschlinkert/is-plain-object","https://github.com/jonschlinkert/is-plain-object/raw/master/LICENSE","jquery-ui-form-builder"
"is-posix-bracket@0.1.1","MIT","https://github.com/jonschlinkert/is-posix-bracket","https://github.com/jonschlinkert/is-posix-bracket/raw/master/LICENSE","jquery-ui-form-builder"
"is-primitive@2.0.0","MIT","https://github.com/jonschlinkert/is-primitive","https://github.com/jonschlinkert/is-primitive/blob/master/LICENSE","jquery-ui-form-builder"
"is-relative@1.0.0","MIT","https://github.com/jonschlinkert/is-relative","https://github.com/jonschlinkert/is-relative/raw/master/LICENSE","jquery-ui-form-builder"
"is-typedarray@1.0.0","MIT","https://github.com/hughsk/is-typedarray","https://github.com/hughsk/is-typedarray/raw/master/LICENSE.md","jquery-ui-form-builder"
"is-unc-path@1.0.0","MIT","https://github.com/jonschlinkert/is-unc-path","https://github.com/jonschlinkert/is-unc-path/raw/master/LICENSE","jquery-ui-form-builder"
"is-utf8@0.2.1","MIT","https://github.com/wayfind/is-utf8","https://github.com/wayfind/is-utf8/raw/master/LICENSE","jquery-ui-form-builder"
"is-windows@1.0.1","MIT","https://github.com/jonschlinkert/is-windows","https://github.com/jonschlinkert/is-windows/raw/master/LICENSE","jquery-ui-form-builder"
"is@3.2.1","MIT","https://github.com/enricomarino/is","https://github.com/enricomarino/is/raw/master/LICENSE.md","jquery-ui-form-builder"
"isarray@0.0.1","MIT","https://github.com/juliangruber/isarray","https://github.com/juliangruber/isarray","jquery-ui-form-builder"
"isarray@1.0.0","MIT","https://github.com/juliangruber/isarray","https://github.com/juliangruber/isarray","through2:jquery-ui-form-builder"
"isexe@2.0.0","ISC","https://github.com/isaacs/isexe","https://github.com/isaacs/isexe/raw/master/LICENSE","jquery-ui-form-builder"
"isobject@2.1.0","MIT","https://github.com/jonschlinkert/isobject","https://github.com/jonschlinkert/isobject/raw/master/LICENSE","has-value:unset-value:jquery-ui-form-builder"
"isobject@3.0.1","MIT","https://github.com/jonschlinkert/isobject","https://github.com/jonschlinkert/isobject/raw/master/LICENSE","jquery-ui-form-builder"
"isstream@0.1.2","MIT","https://github.com/rvagg/isstream","https://github.com/rvagg/isstream/raw/master/LICENSE.md","jquery-ui-form-builder"
"jade@0.26.3","UNKNOWN","https://github.com/visionmedia/jade","https://github.com/visionmedia/jade/raw/master/LICENSE","jquery-ui-form-builder"
"jodid25519@1.0.2","MIT","https://github.com/meganz/jodid25519","https://github.com/meganz/jodid25519/raw/master/LICENSE","fsevents:jquery-ui-form-builder"
"js-base64@2.4.1","BSD-3-Clause","https://github.com/dankogai/js-base64","https://github.com/dankogai/js-base64/raw/master/LICENSE.md","jquery-ui-form-builder"
"jsbn@0.1.1","MIT","https://github.com/andyperlitch/jsbn","https://github.com/andyperlitch/jsbn/raw/master/LICENSE","jquery-ui-form-builder"
